"ID","Domain","Layer","Indicator_Name_EN","Indicator_Name_JP","Definition","Data_Source","Update_Frequency","Threshold","Decision_Owner","Action_Trigger","Rationale"
"M-LVS-01","LVS","Macro","Academic Achievement Distribution","学力達成度分布","Distribution of subject- and domain-level achievement on national and municipal assessments, including mean, quartiles, SD, and skewness, providing a comprehensive academic profile beyond a simple average.","MEXT National Assessment of Academic Ability and Learning Status; municipal assessments","annually","Within national mean ±1SD: normal; -1SD to -2SD: caution (yellow); below -2SD: warning (red); |skewness|>1.0: distribution anomaly","Superintendent (R: Curriculum Supervisor)","When sustained below -1SD or when distribution skews abnormally, commission Value-Added Model analysis controlling for SDoL and review curriculum policy.","Corresponds to a population-level vital sign in PHM; distinguishes attainment from growth via Value-Added Modeling to separate pure educational effects from SDoL confounders."
"M-LVS-02","LVS","Macro","School Refusal (Futoukou) Incidence Rate","不登校発生率","Share of enrolled students with annual long-term absence (>=30 days) attributed to school refusal; tracked both as stock prevalence and new-incidence (flow).","MEXT Survey on Problem Behavior and School Non-Attendance; school administrative attendance records","monthly","YoY +5%: caution; +10%: warning; >1.5x national mean: critical (structural-factor analysis); 3 consecutive monthly increases: trend alert","Superintendent (R: Student Guidance Supervisor)","On critical alert, convene cross-agency review; cross-link LMS-login and infirmary-use data to detect hidden non-attendance; deploy SC/SSW resources.","Equivalent to a population-level disease incidence indicator in PHM; early flow detection enables 2nd-tier preventive intervention before chronicity."
"M-LVS-03","LVS","Macro","Upper-Secondary Dropout Rate","中途退学率","Annual high-school dropout rate by reason category (academic, economic, career change, interpersonal), distinct from transfer.","MEXT Basic School Survey; school administrative deregistration records","annually",">1.5x national mean: warning; YoY +20%: critical; single reason >50% of dropouts: structural-factor analysis required","Superintendent (R: Academic Affairs Chief)","Trigger reason-specific intervention design (e.g., economic-aid expansion, career-counseling reinforcement); cross-link GIGA device-usage cessation as leading indicator.","Parallels disease-mortality endpoint in PHM; represents irreversible loss to the learning population requiring upstream prevention investment."
"M-LVS-04","LVS","Macro","Special Needs Education Coverage Trend","特別支援教育対象率推移","Combined share of students receiving tsukyu (resource-room) instruction, enrolled in special-needs classes, or attending special-needs schools, plus year-over-year change rate.","MEXT Special Needs Education Statistics; Basic School Survey","annually","Annual change >15%: investigation required (rapid rise may reflect either improved detection or over-identification); deviation >2SD from national mean: investigation","Superintendent (R: Special Needs Education Division)","On large change, commission specialist-panel review to distinguish access improvement from over-identification; pair with inclusive-education indicators.","PHM analogue is screening-coverage tracking; an increase is not inherently negative when it reflects improved access to appropriate support."
"M-LVS-05","LVS","Macro","Post-Graduation Pathway Determination Rate","進路決定率","Share of graduating lower- and upper-secondary students with a determined pathway (further education, employment, or other) at the time of graduation, with profile analysis of the undecided.","Basic School Survey; career guidance records","annually","<95%: caution; <90%: warning; YoY drop -3pp: trend alert","Superintendent (R: Career Guidance Supervisor; A: School Principal)","When provisional December rate signals risk, expand career-counseling capacity and connect undecided students to municipal employment-support services.","Corresponds to a discharge-disposition outcome in PHM; measures successful transition out of the K-12 learning population, weighted by self-perceived fit."
"S-LVS-01","LVS","Meso","School-Level Subject Attainment","学校別学力到達度","School-level share of students reaching the B-criterion ('generally satisfactory') or above on internal and municipal assessments, by subject and learning domain.","Internal periodic tests; municipal common assessments; NRT/CRT","quarterly","District mean -10pp: caution; -20pp: warning; 2 consecutive semesters of decline: trend alert","Principal (R: Academic Affairs Chief)","Cross-validate internal grading reliability against standardized tests; trigger subject-team intervention planning.","Mid-level vital-sign aggregation analogous to ward-level outcome monitoring in PHM; supports IRT-based reliability checks of internal evaluation."
"S-LVS-02","LVS","Meso","Attendance Rate and Pattern Analysis","出席率・出席パターン分析","School-wide attendance rate plus pattern analytics: chronic absenteeism share, day-of-week absence pattern, late-arrival and infirmary-use integration.","School administrative system attendance module","daily","<95%: caution; <90%: warning; chronic absenteeism >10%: critical; specific weekday +3pp above overall: pattern alert","Vice-Principal (R: Vice-Principal; C: Yougo (school nurse) teacher)","On weekday-pattern alert (e.g., Monday spike) deploy targeted homeroom outreach; chronic absentees enter early-warning monitoring (S-LRS-02).","Attendance is the most sensitive vital sign for population learning health; weekday/period patterns are leading indicators of futoukou onset."
"S-LVS-03","LVS","Meso","Instructional Hours Fulfillment Rate","授業時数充足率","Ratio of delivered to standard instructional hours per the Course of Study, by subject and grade, with tracking of unfulfilled hours and reasons.","Timetable management system; teaching records","monthly","<98%: caution; <95%: warning (curriculum-policy issue); subject-specific <90%: subject-level critical alert","Principal (R: Academic Affairs Chief)","On shortfall, log cause (disaster / pandemic / staffing) and authorize make-up modalities including online delivery; report to municipal authority.","PHM analogue is service-delivery coverage; ensures upstream input integrity before evaluating downstream learning outcomes."
"S-LVS-04","LVS","Meso","School Adaptation Index","学校適応感指数","Distribution of students across Q-U adaptation typology (satisfied / non-aggrieved / perceived-victimization / maladjusted) reported as a composite weighted index.","Q-U (QUESTIONNAIRE-UTILITIES) survey administered via GIGA devices","quarterly","Maladjusted group >15%: caution; >25%: warning; -5pt vs previous wave: trend alert","Principal (R: Counseling Coordinator; C: School Counselor)","On warning, initiate class-climate intervention; cross-analyze Q-U with academic data to evaluate the classroom-management–attainment linkage.","Captures the psychosocial dimension of population learning health, analogous to mental-health screening in PHM; high predictive validity for futoukou."
"S-LVS-05","LVS","Meso","Teacher Staffing Sufficiency and Placement Adequacy","教職員充足率・配置適正度","Ratio of actual to statutory staffing, supplemented by qualitative measures (license-subject match rate and experience-balance) to assess placement quality.","HR personnel system; teacher license registry","annually","Staffing <95%: critical; license-match <80%: caution; any mid-year vacancy: immediate alert","Principal (R: HR Division; A: Superintendent; I: Teachers' unions)","Trigger emergency-recruitment protocol; expose 'hidden shortage' (high non-regular share) via employment-type breakdown analysis.","Functions as the staffing-equivalent vital sign of a hospital; the infrastructure layer of PLM whose degradation cascades into student outcomes."
